Software Name	 Version	Manufacturer
AH-64 IPAC IMI v2.2.5.0	2.2.5.0	AH-64 IPAC IMI v
AH-64 IPAC v2.3.0.85	2.3.0.85	AH-64 IPAC v
AH-64 IPAC v2.3.0.85	2.3.0.85	
AH-64 Longbow Procedural Trainer (LPT)	1.x	
AH-64D BLK3 SW1 A/W/E	1.1.2.7	AH-64D BLK3 SW1 A/W/E
AH-64D SW13 A/W/E	1.2.1.9	AH-64D SW13 A/W/E
AH-64D SW13.1 A/W/E	2.1.2.10	AH-64D SW13.1 A/W/E
AH-64D SW13.2 A/W/E	1.0.0.120	AH-64D SW13.2 A/W/E
AH-64D SW13.3 A/W/E	1.0.0.15	AH-64D SW13.3 A/W/E
AH-64D SW6.2 A/W/E	2.0.0.412	AH-64D SW6.2 A/W/E
AH-64D SW6.3 A/W/E	1.1.2.8	AH-64D SW6.3 A/W/E
AH-64D SW6.4 A/W/E	1.0.0.16	AH-64D SW6.4 A/W/E
AH-64D V13.2 SBVT DTE	2.2	AH-64D V13.2 SBVT DTE
AH-64D V13.3 Desktop Trainer 1.0	1	AH-64D V13.3 Desktop Trainer
AH-64E SW2.1 A/W/E	1.0.0.68	AH-64E SW2.1 A/W/E
AH-64E SW2.2 A/W/E	1.0.0.11	AH-64E SW2.2 A/W/E
AH-64E_VERS_4_DTE_NO_ADMIN 1.0	1	AH-64E_VERS_4_DTE_NO_ADMIN
AHLTA - Carson	1	AHLTA - Carson
Aircraft Notebook	1.1	
Akamai NetSession Interface	N/A	Akamai NetSession Interface
Akamai NetSession Interface	N/A	Akamai NetSession Interface
Alcor Micro Smart Card Reader Driver	1.7.45.1	Alcor
Alcor Micro Smart Card Reader Driver	1.7.45.10	Alcor
Alcor Micro Smart Card Reader Driver	1.7.45.12	Alcor
Alcor Micro Smart Card Reader Driver	1.7.44.0	Alcor
Alcor Micro Smart Card Reader Driver	1.7.45.1	Alcor
Alcor Micro Smart Card Reader Driver	1.7.44.0	Alcor
Alcor Micro Smart Card Reader Driver	1.7.45.12	Alcor
Alcor Micro Smart Card Reader Driver 	1.7.45.12	Alcor
Alcor Micro Smart Card Reader Driver 	1.7.43.2200	Alcor
Alert! Client Software	Latest	
Alertus Server	5.1.38	Alertus Server
Alertus Server	5.1.38	
Allert Beacon Firmware Updater	N/A	Allert Beacon Firmware Updater
ALPS GlidePoint Driver	8.201.1717.126	ALPS GlidePoint Driver
AMD Accelerated Video Transcoding	13.20.100.31206	
AMD Catalyst Control Center	1.00.0000	AMD Catalyst Control Center
AMD Catalyst Control Center	2015.0124.2249.40957	
AMD Catalyst Control Center	2015.0806.2138.37096	
AMD Catalyst Control Center	2013.1206.1603.28764	
AMD Catalyst Control Center	2015.0804.21.41908	
AMD Catalyst Control Center	2015.1019.1617.27445	
AMD Catalyst Install Manager	8.0.911.0	AMD Catalyst Install Manager
AMD FirePro Control Center	1.00.0000	AMD FirePro Control Center
AMD Install Manager	9.0.000.4	AMD Install Manager
AMD Install Manager	5	AMD Install Manager
AMD Install Manager	9.0.000.4	
AMD Quick Stream	2.0.0.0	AMD Quick Stream
AMD Settings	2016.1025.1903.32475	AMD Settings
AMD Settings - Branding	1.00.0000	
AMD Software	9.0.000.8	AMD Software
AMD Software	17.7	
AMD Software	9.0.000.8	
AMD Start Now	2016.1025.1903.32475	
AMD Start Now	2015.1129.2307.41591	
AMD Start Now	2016.0903.849.14039	
AMET - Army Metadata Editor Tool (v10.3.0.0.1)	10.3.0.01	
AMET - Army Metadata Editor Tool (v10.4.1.0.1)	10.4.1.01	
AMP-PAT 14.12.0.4	14.12.0.4	AMP-PAT
AMPS Legacy FPMs	7.5.0	AMPS Legacy FPMs
AMPS ScreenSaver	2.0.3.3	AMPS ScreenSaver
AMPS Security Banner	2.0.3.9	AMPS Security Banner
Anaconda	5.x	Continuum Analytics
Analyst Notebook (End of Support Feb 2025)	9.x	IBM
Analyst Notebook	10.x	IBM
App Volumes Manager	2.13.3.12	VMware  Inc.
Apple Application Support	2.3.4	Apple
Apple Application Support	2.3.6	Apple
Apple Application Support (32-bit)	6.0.2	Apple
Apple Application Support (32-bit)	5.0.1	Apple
Apple Application Support (64-bit)	6.0.2	Apple
Apple Application Support (64-bit)	5.0.1	Apple
Apple Mobile Device Support	10.0.0.18	Apple
Apple Mobile Device Support	11.0.0.30	Apple
Apple Software Update	2.4.8.1	Apple
Application Button Setting	3.00.1300.0	Application Button Setting
Application Insights Tools for Visual Studio 2015	7.0.20622.1	
Application Profiles	1.00.0000	Application Profiles
ApproveIt Desktop	6.50.25.1000	ApproveIt Desktop
ArcGIS ArcReader	10.3.4959	ArcGIS
ArcGIS Data Interoperability for Desktop	10.3.4959	ArcGIS
ArcGIS Data Reviewer for Desktop	10.3.4523	ArcGIS
ArcGIS Data Reviewer for Desktop	10.4.867	ArcGIS
ArcGIS Desktop	10.2.3552	ArcGIS
ArcGIS Desktop	10.3.4322	ArcGIS
ArcGIS Desktop	10.3.4959	ArcGIS
ArcGIS Desktop	10.4.5686	ArcGIS
ArcGIS Desktop	10.0.2414	ArcGIS
ArcGIS Desktop	10.0.4400	ArcGIS
ArcGIS Desktop	10.5.1	ESRI
ArcGIS Desktop	10.5.6491	ArcGIS
ArcGIS Earth	1.5.1704	ArcGIS
ArcGIS License Manager	10.3.4322	ArcGIS
ArcGIS License Manager	10.3.4959	ArcGIS
ArcGIS Pro	1.3.5861	ArcGIS
ArcGIS Pro	2.x	ESRI
ArcGIS Workflow Manager for Desktop	10.3.4448	ArcGIS
ArcPad 10.2	10.2.00000099	ArcPad
ArcSight Console 5.0	5.0.0.0	ArcSight Console
ArcSight ESM Console	6.11.0.0	ArcSight ESM Console
ArcSight SmartConnector	5.0.6.0	ArcSight  Inc.
ArcSight SmartConnector	5.0.6.0	ArcSight SmartConnector
ArcSight SmartConnector	5.0.6.0	ArcSight
Armed Services Vocational Aptitude Battery	0.96	
Army ACO Manager	1.1.1.10	Army ACO Manager
Army Food Management Information System (AFMIS)		eMASS Record ID 170
ARNG Weapons Training Aid 1.0	1.0.0	ARNG Weapons Training Aid
Asmedia USB Host Controller Driver	1.16.32.1	
Asmedia USB Host Controller Driver	1.16.50.1	
ASN_CNSATM_Compiler_Install	3.0.000.0004	ASN_CNSATM_Compiler_Install
AstroGrep	4.4.6	AstroComma  Inc.
Asure ID	7.7.3.16	Asure ID
AT&amp;T Communication Manager	9.2.444.7	
AT&amp;T Connect Participant Application v8.9.35	8.9.35	
